place_id,name,address,city,latitude,longitude,category,average_rating,review_count,is_active
ChIJ9dkxN7o1K4gR0iGWiGqRhig,Cafe Landwer,"165 University Ave, Toronto, ON M5H 3B8, Canada",Toronto,43.648744,-79.385165,coffee,0.0,0,true
ChIJB1814DLL1IkRhj-K_tYwSio,Dineen Coffee Co.,"140 Yonge St, Toronto, ON M5C 1X6, Canada",Toronto,43.6511749,-79.3788897,coffee,0.0,0,true
ChIJr22uVRdTV0ARhqf3bW-O-QU,Balzac's Distillery District,"1 Trinity St, Toronto, ON M5A 3C4, Canada",Toronto,43.6497757,-79.3590679,coffee,0.0,0,true
ChIJm58KgjDL1IkRaEwUb3FXeCY,NEO COFFEE BAR,"161 Frederick St Unit 100, Toronto, ON M5A 1J9, Canada",Toronto,43.6506513,-79.3691669,coffee,0.0,0,true
ChIJG01e4c01K4gR5inw-zuOYr4,NEO COFFEE BAR KING X SPADINA,"61 Spadina Ave., Toronto, ON M5V 1K1, Canada",Toronto,43.6450334,-79.3944412,coffee,0.0,0,true
ChIJs09aUcI0K4gR6phtG366G4g,FIKA Cafe,"28 Kensington Ave, Toronto, ON M5T 2J9, Canada",Toronto,43.6535775,-79.4004428,coffee,0.0,0,true
ChIJQdhOZvjL1IkRy2LM3m99vOg,Twilight Cafe & Bar DT (Dundas),"252 Victoria St, Toronto, ON M5B 1V8, Canada",Toronto,43.65563849999999,-79.3794872,coffee,0.0,0,true
ChIJiUsd5ss0K4gRZi8epUfvW7M,Tsujiri Dundas,"147 Dundas St W, Toronto, ON M5E 0A8, Canada",Toronto,43.6552562,-79.3854066,matcha,0.0,0,true
ChIJK4FWWFk1K4gR9VI7gU6tc_A,Cafe23,"728 Queen St W, Toronto, ON M6J 1E8, Canada",Toronto,43.6462501,-79.4093706,coffee,0.0,0,true
ChIJ__8DpMQ0K4gRPNzVwLvVVkA,ICHA TEA,"235 Spadina Ave. Unit 4, Toronto, ON M5T 2E2, Canada",Toronto,43.65141759999999,-79.39706249999999,matcha,0.0,0,true
ChIJ_fWZBMo0K4gRhXosjjby1Vg,Jimmy's Coffee,"84 Gerrard St W, Toronto, ON M5G 1Z4, Canada",Toronto,43.6585111,-79.3856077,coffee,0.0,0,true
ChIJ5SbjSsI0K4gRxhgtLRkalKk,Moonbean Coffee Company,"30 St Andrew St, Toronto, ON M5T 1K6, Canada",Toronto,43.654229,-79.40021349999999,coffee,0.0,0,true
ChIJfRgZP3o5K4gR8HSEAW1rhqc,Cafe 295,"295 The West Mall #700, Etobicoke, ON M9C 4Z4, Canada",Toronto,43.6353069,-79.56129589999999,coffee,0.0,0,true
ChIJ2yDr0TPL1IkRDqPYwTEDKOE,Versus Coffee,"70 Adelaide St E, Toronto, ON M5C 2R6, Canada",Toronto,43.6512627,-79.3753365,coffee,0.0,0,true
ChIJMfCsUZM0K4gRXc77sjsy2OU,Bampot House,"201 Harbord St, Toronto, ON M5S 1H6, Canada",Toronto,43.6615454,-79.40907729999999,matcha,0.0,0,true
ChIJ4bJ3djvL1IkRWav6-FyyDds,Fahrenheit Coffee,"120 Lombard St, Toronto, ON M5C 3H5, Canada",Toronto,43.6524166,-79.3729352,coffee,0.0,0,true
ChIJ14swXAA1K4gR57BtRMSAjYY,Project Seoul,"355 Spadina Ave., Toronto, ON M5T 2G3, Canada",Toronto,43.6554893,-79.3987784,coffee,0.0,0,true
ChIJS5xKTs80K4gRKD5q5-SgtZM,Library Coffee,"281 Dundas St W, Toronto, ON M5T 1G1, Canada",Toronto,43.6543249,-79.3908424,coffee,0.0,0,true
ChIJO4Y0YI7L1IkRaZ0Nndyhf7A,MATCHA MATCHA,"407 Church St, Toronto, ON M5B 1J2, Canada",Toronto,43.6623054,-79.37926019999999,other,0.0,0,true
ChIJr037itg1K4gR5azKyeCrlUU,Bloom Cafe,"596 Yonge St, Toronto, ON M4Y 1Z3, Canada",Toronto,43.6655121,-79.3850598,coffee,0.0,0,true
ChIJRRcM18E0K4gRKwRR6ALuPX4,Found Coffee | College,"324 College St, Toronto, ON M5T 1S3, Canada",Toronto,43.6576525,-79.40263809999999,coffee,0.0,0,true
ChIJJd7GGAA1K4gRgQx9neVZzD4,Vintage Cat Cafe Toronto,"1274 St Clair Ave W, Toronto, ON M6E 1B9, Canada",Toronto,43.6773328,-79.4471166,coffee,0.0,0,true
ChIJpQjCnFQ1K4gRyPCmr_vIzI0,Tsuchi Cafe,"688 College St, Toronto, ON M6G 1C1, Canada",Toronto,43.6554566,-79.41771849999999,coffee,0.0,0,true
